term,estimate,std.error,statistic,df,p.value
(Intercept),-2.2413052362417387,0.06560467774538536,-34.16380223587627,11.839280155351963,3.3839535546627777e-13
RIAGENDR,-0.17319957932876237,0.02086424742245057,-8.301261762377028,11.633833992408151,3.164821165739096e-6
RIDAGEYR,0.012136648866875087,0.0013602497037597428,8.922368322028873,27.245338367060135,1.4263926102257067e-9
AGE_SQUARED,-1.6984300765891377e-4,1.7000277492756522e-5,-9.990602078776684,20.62023238132152,2.3672130533191307e-9
ETHNICITY_NONHISPANICBLACK,-0.06249304526040818,0.023421297722077867,-2.66821446027304,12.955018878775547,0.01937731775128879
ETHNICITY_OTHER,0.1057338985173405,0.06956126756949257,1.5200110954233406,9.650171035884522,0.16057138236359458
ETHNICITY_MEXICAN,0.12494937338435341,0.017582242282713836,7.106566464915495,19.706776503274686,7.519907154211572e-7
ETHNICITY_OTHERHISPANIC,0.1998822583353653,0.035937930998847345,5.561874397882733,12.568624551649028,1.041227766538303e-4
EDUCATION_LESS9,0.12277085595120264,0.024671742218317846,4.976172937639153,14.80374885346593,1.7240951363228267e-4
EDUCATION_9_11,0.060297230934495294,0.02430664283659034,2.4806893876650884,13.49453068670269,0.026987456138476983
EDUCATION_HSGRAD,0.01214658341542377,0.019820654760750782,0.6128245288584843,15.90398515761823,0.5486560585312827
LBXOTT,0.36293730747504316,0.030352146265520092,11.957550029578579,9.673045152662908,4.119056500711021e-7
LBXOD9,-0.01200731025370995,0.00801222145016975,-1.498624361344326,8.880205306293417,0.1686502740494992
LBXHDT,0.07498440651786188,0.013231395366052891,5.667157880433798,9.58353326138614,2.43134563444125e-4
LBXOD1,-0.0013161645862213385,0.0072438024618872165,-0.181695262004486,8.7847534168577,0.8599450261978978
LBXVIE,6.150151320297191e-4,3.4981550237724934e-5,17.58112856206333,10.32344193821714,4.97455967013599e-9
LBXDIE,0.5892648079847305,0.5728106162506019,1.0287253609959803,8.609682947732251,0.3316405693579474
LBXOXY,0.6898422179669643,0.9088579712344936,0.7590209249416142,9.083506979924064,0.4670785010952162
LBXHPE,-0.3155708031162533,0.5304583984528881,-0.59490207721592,9.01649904350652,0.5665369734079195
LBXGTC,0.0026587003985001135,1.3829662402494637e-4,19.224622562156895,10.173808984713082,2.487246569703406e-9
LBXTNA,0.4063222101125016,0.4390296509924121,0.9255006107082371,9.02888062778945,0.37877839388213996
LBXRST,0.23487104570256503,0.03910930369374501,6.005503128917363,9.660764354313102,1.5098498652742838e-4
LBXF04,-0.003187435926266126,0.001453291287348872,-2.1932533099270977,9.627265036187644,0.05405455871806012
LBXBHC,0.11538231120833926,0.11791424162394876,0.9785273569948887,8.307598172410824,0.355445880753026
LBX118,-0.7474896710388104,0.407741041861627,-1.833246090768763,9.591273698489127,0.09793421506274277
LBXF03,0.004957580238234767,9.113243861701546e-4,5.439973201056347,10.06238216695308,2.7872850614348433e-4
LBX074,-1.7515473723901123,0.6195272556865973,-2.827232145660714,10.108340517629015,0.017759530943855465
LBX170,-3.0882310726680275,0.521300365248307,-5.92409151909386,9.973697527836862,1.47790316162687e-4
LBX099,-0.7617710014474609,0.6196082026443606,-1.2294398269686855,10.933547393233047,0.24470803293359866
LBXHCB,-0.46636835810799576,0.21440487015071563,-2.1751761411956863,10.161427248901129,0.054271467867602036
LBX138,1.6895169605612324,0.25161875996415733,6.714590600485835,10.068212738575557,5.098084074393659e-5
