pnewsubcategory,num_pheno,m,q25,q75,qmax
anthropometric,11,0.06171989341095219,0.0387965101709849,0.0767791006717371,0.09722100076226375
blood,15,0.038054602213982436,0.017573014324167868,0.06855424415635783,0.18648822894376646
blood pressure,2,0.025827598403183993,0.024991207275709137,0.02666398953065885,0.027500380658133705
bone,2,0.0711181073886992,0.058109111230675234,0.08412710354672315,0.09713609970474711
dexa,38,0.017345092146509672,0.012601269457864675,0.024244797576029778,0.07386923822733193
electrolyte,3,0.0438468984372794,0.0339304024609788,0.06044086943130887,0.07703484042533834
fitness,2,0.05236187474368416,0.04937733127485119,0.05534641821251713,0.0583309616813501
hormone,4,0.04146320815300934,0.019166485303824102,0.07800554626939044,0.13351347187283893
inflammation,3,0.03995752783538637,0.03661019590929007,0.0440921187390043,0.048226709642622226
iron,2,0.04855661837328297,0.03611537761364867,0.06099785913291727,0.07343909989255157
kidney,6,0.09320585541186406,0.05402773502405898,0.11746720286302328,0.13975457918656578
lipids,6,0.3914305329869216,0.3201037871310204,0.5321967611202096,0.5746534287660761
liver,6,0.02549793829331816,0.021019172060653825,0.03106309377368036,0.09987170568515816
lung,2,0.016427042979315576,0.016227196500521818,0.016626889458109334,0.016826735936903092
metabolic,6,0.07987786766664103,0.07115610950141689,0.0909125094454519,0.11053230732634212
nutrition,8,0.12918795124566776,0.08727189321687381,0.14316913852868726,0.4113204212416685
